Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2013,Eastern Conf Semifinals,NYK,IND,L,2-4,Carmelo Anthony*,0.6,Raymond Felton,0.5,0.1,Paul George,1.1,3.73,3.34,0.39
2013,Western Conf Semifinals,MEM,OKC,W,4-1,Marc Gasol,1.1,Mike Conley,0.9,0.2,Kevin Durant,1.4,4.32,9.15,-4.83
2013,Western Conf Semifinals,OKC,MEM,L,1-4,Kevin Durant,1.4,Reggie Jackson,0.4,1.0,Marc Gasol,1.1,9.15,4.32,4.83
2013,Western Conf Semifinals,SAS,GSW,W,4-2,Kawhi Leonard,1.4,Danny Green,1.1,0.3,Stephen Curry,0.8,6.67,1.32,5.35
2013,Western Conf Semifinals,GSW,SAS,L,2-4,Stephen Curry,0.8,Harrison Barnes,0.3,0.5,Kawhi Leonard,1.4,1.32,6.67,-5.35
2013,Eastern Conf Finals,MIA,IND,W,4-3,LeBron James,3.0,Dwyane Wade*,1.0,2.0,Paul George,1.1,7.03,3.34,3.69
2013,Eastern Conf Finals,IND,MIA,L,3-4,Paul George,1.1,Roy Hibbert,0.9,0.2,LeBron James,3.0,3.34,7.03,-3.69
2013,Western Conf Finals,SAS,MEM,W,4-0,Kawhi Leonard,1.4,Danny Green,1.1,0.3,Marc Gasol,1.1,6.67,4.32,2.35
2013,Western Conf Finals,MEM,SAS,L,0-4,Marc Gasol,1.1,Mike Conley,0.9,0.2,Kawhi Leonard,1.4,4.32,6.67,-2.35
2013,Finals,MIA,SAS,W,4-3,LeBron James,3.0,Dwyane Wade*,1.0,2.0,Kawhi Leonard,1.4,7.03,6.67,0.36
2013,Finals,SAS,MIA,L,3-4,Kawhi Leonard,1.4,Danny Green,1.1,0.3,LeBron James,3.0,6.67,7.03,-0.36
2012,Eastern Conf First Round,PHI,CHI,W,4-2,Jrue Holiday,0.9,Andre Iguodala,0.5,0.4,Joakim Noah,0.4,3.59,7.43,-3.84
2012,Eastern Conf First Round,CHI,PHI,L,2-4,Joakim Noah,0.4,Luol Deng,0.3,0.1,Jrue Holiday,0.9,7.43,3.59,3.84
2012,Eastern Conf First Round,MIA,NYK,W,4-1,LeBron James,3.1,Dwyane Wade*,1.7,1.4,Carmelo Anthony*,0.3,5.72,2.39,3.33
2012,Eastern Conf First Round,NYK,MIA,L,1-4,Carmelo Anthony*,0.3,Mike Bibby,0.2,0.1,LeBron James,3.1,2.39,5.72,-3.33
2012,Eastern Conf First Round,IND,ORL,W,4-1,George Hill,0.6,Darren Collison,0.5,0.1,Jameer Nelson,0.2,2.6,0.46,2.14
2012,Eastern Conf First Round,ORL,IND,L,1-4,Jameer Nelson,0.2,Glen Davis,0.1,0.1,George Hill,0.6,0.46,2.6,-2.14
