Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
153,Chris Paul,PG,30,LAC,4.0,125.0,33.2,.575,.263,.197,3.2,9.4,6.3,48.5,3.7,0.0,4.6,30.9,,0.7,0.2,0.8,0.322,,9.1,4.9,14.0,0.5,2016
154,Cameron Payne,PG,21,OKC,10.0,64.0,-0.6,.324,.385,.154,0.0,6.9,3.5,18.2,1.6,2.5,22.4,24.3,,-0.3,0.1,-0.3,-0.189,,-7.6,-3.6,-11.1,-0.1,2016
155,Paul Pierce*,SF,38,LAC,5.0,54.0,-3.4,.218,.417,.333,0.0,10.9,5.5,2.5,1.9,0.0,12.7,13.0,,-0.2,0.1,-0.2,-0.141,,-9.2,-1.7,-10.9,-0.1,2016
156,Mason Plumlee,C,25,POR,11.0,306.0,15.3,.456,.000,.471,12.1,32.0,21.8,25.7,1.1,2.8,22.8,15.3,,0.2,0.4,0.6,0.09,,-0.4,2.6,2.2,0.3,2016
157,Dwight Powell,PF,24,DAL,4.0,64.0,17.1,.503,.053,.579,15.8,15.2,15.5,10.5,0.8,0.0,4.0,18.0,,0.1,-0.1,0.1,0.063,,3.2,-1.9,1.2,0.1,2016
158,Norman Powell,SG,22,TOR,18.0,206.0,11.4,.462,.371,.114,2.2,14.2,7.9,5.1,3.4,0.9,6.4,17.7,,0.0,0.3,0.2,0.055,,-0.8,1.5,0.7,0.1,2016
159,Pablo Prigioni,PG,38,LAC,5.0,26.0,-6.3,.000,.400,.000,7.7,3.8,5.7,34.8,0.0,0.0,37.5,13.7,,-0.1,0.0,-0.1,-0.222,,-12.2,-3.4,-15.6,-0.1,2016
160,Zach Randolph,PF,34,MEM,4.0,120.0,11.6,.400,.000,.113,12.6,22.7,16.9,12.3,0.4,0.0,9.7,27.6,,-0.2,0.0,-0.2,-0.091,,-0.2,-3.8,-4.0,-0.1,2016
161,JJ Redick,SG,31,LAC,6.0,166.0,11.1,.504,.392,.038,0.6,6.5,3.6,5.3,0.3,0.5,5.9,22.9,,0.0,0.1,0.1,0.026,,-0.2,-2.3,-2.5,0.0,2016
162,Josh Richardson,SG,22,MIA,14.0,387.0,8.8,.489,.517,.157,3.2,11.6,7.6,8.5,0.8,2.6,11.2,13.2,,0.1,0.6,0.7,0.085,,-1.6,0.9,-0.8,0.1,2016
163,Austin Rivers,SG,23,LAC,6.0,144.0,12.4,.477,.279,.148,2.8,8.2,5.5,18.7,1.1,0.0,9.7,22.3,,0.0,0.1,0.1,0.037,,-1.3,-0.4,-1.8,0.0,2016
164,Andre Roberson,SG,24,OKC,18.0,471.0,11.6,.527,.430,.233,6.0,17.7,12.0,4.2,2.5,3.2,10.4,9.8,,0.4,0.7,1.1,0.111,,-0.5,3.2,2.7,0.6,2016
165,Brian Roberts,PG,30,POR,10.0,36.0,1.1,.344,.444,.667,2.8,0.0,1.4,11.7,0.0,0.0,7.9,15.0,,0.0,0.0,-0.1,-0.075,,-7.4,-4.7,-12.1,-0.1,2016
166,Glenn Robinson III,SF,22,IND,4.0,10.0,32.4,.788,.000,.250,0.0,0.0,0.0,0.0,0.0,8.4,0.0,21.4,,0.1,0.0,0.1,0.284,,10.2,4.1,14.2,0.0,2016
167,Terrence Ross,SF,24,TOR,20.0,335.0,10.0,.493,.538,.168,1.4,10.7,5.7,5.8,2.1,1.3,11.1,19.9,,-0.1,0.3,0.2,0.023,,-0.4,0.2,-0.2,0.1,2016
168,Terry Rozier,PG,21,BOS,5.0,99.0,9.6,.503,.478,.087,3.0,15.8,9.0,9.9,0.5,2.7,7.7,11.3,,0.0,0.2,0.2,0.096,,-0.9,1.6,0.7,0.1,2016
169,Brandon Rush,SG,30,GSW,14.0,110.0,7.8,.551,.600,.100,0.0,22.3,11.3,3.8,0.9,1.5,8.7,9.1,,0.0,0.1,0.2,0.073,,-2.8,0.7,-2.1,0.0,2016
170,Dennis SchrÃ¶der,PG,22,ATL,10.0,191.0,16.1,.533,.337,.125,3.5,7.0,5.3,37.1,1.1,0.5,16.1,30.7,,0.1,0.1,0.2,0.05,,1.5,-1.3,0.2,0.1,2016
171,Luis Scola,PF,35,TOR,11.0,140.0,2.7,.391,.677,.355,1.6,14.6,7.7,7.7,1.2,0.0,12.2,13.5,,-0.2,0.1,-0.1,-0.026,,-5.1,-0.5,-5.6,-0.1,2016
172,Mike Scott,PF,27,ATL,10.0,161.0,15.1,.747,.400,.200,3.5,17.2,10.7,5.2,0.9,1.7,15.5,14.3,,0.3,0.2,0.5,0.153,,0.1,1.6,1.7,0.2,2016
173,Thabo Sefolosha,SF,31,ATL,10.0,203.0,13.5,.561,.413,.326,4.4,16.7,10.9,13.0,2.5,2.7,16.0,13.8,,0.1,0.3,0.5,0.11,,-0.7,2.9,2.2,0.2,2016
174,Iman Shumpert,SG,25,CLE,21.0,367.0,7.1,.540,.567,.183,3.3,11.7,7.6,6.3,1.4,0.8,16.7,9.8,,0.2,0.3,0.5,0.062,,-2.7,0.9,-1.9,0.0,2016
175,Jonathon Simmons,SG,26,SAS,3.0,26.0,16.7,.506,.300,.200,14.2,4.2,8.9,11.8,4.0,0.0,8.4,21.3,,0.0,0.0,0.1,0.156,,0.4,0.6,1.0,0.0,2016
176,Kyle Singler,SF,27,OKC,6.0,51.0,3.6,.405,.444,.222,2.2,12.9,7.7,0.0,1.0,0.0,0.0,8.4,,0.0,0.0,0.0,0.02,,-3.7,-0.2,-3.9,0.0,2016
177,Marcus Smart,PG,21,BOS,6.0,193.0,12.1,.520,.533,.350,4.1,11.0,7.3,15.8,2.5,2.3,17.8,18.8,,0.0,0.4,0.3,0.083,,-0.4,2.4,2.0,0.2,2016
178,J.R. Smith,SG,30,CLE,21.0,730.0,12.5,.613,.803,.112,1.1,9.6,5.4,5.8,1.9,0.7,5.3,13.2,,1.4,0.6,2.1,0.135,,0.8,0.9,1.8,0.7,2016
179,Josh Smith,PF,30,HOU,4.0,38.0,7.6,.576,.615,.154,2.6,3.0,2.8,19.9,1.3,2.3,26.5,20.4,,0.0,0.0,0.0,-0.045,,-0.2,0.3,0.1,0.0,2016
180,Marreese Speights,C,28,GSW,24.0,201.0,14.2,.509,.364,.263,8.2,17.0,12.7,9.5,0.7,3.2,13.2,33.1,,-0.1,0.2,0.2,0.04,,-2.7,-1.0,-3.7,-0.1,2016
181,Lance Stephenson,SF,25,MEM,4.0,95.0,16.8,.563,.114,.114,1.1,7.2,3.7,17.4,0.6,0.0,6.1,23.8,,0.2,-0.1,0.1,0.066,,2.9,-1.7,1.2,0.1,2016
182,Amar'e Stoudemire,C,33,MIA,9.0,82.0,12.4,.666,.000,.421,4.6,13.7,9.4,0.0,3.2,2.8,28.6,18.3,,0.0,0.2,0.2,0.103,,-5.6,1.9,-3.7,0.0,2016
183,Rodney Stuckey,PG,29,IND,7.0,125.0,11.1,.468,.233,.209,1.0,12.0,6.9,20.3,1.7,0.7,11.3,20.4,,0.0,0.1,0.1,0.047,,-1.4,0.6,-0.8,0.0,2016
184,Jared Sullinger,PF,23,BOS,6.0,81.0,5.6,.354,.095,.095,12.1,23.4,17.4,15.9,0.6,0.0,12.1,26.5,,-0.3,0.1,-0.1,-0.077,,-5.3,-2.0,-7.4,-0.1,2016
185,Jeff Teague,PG,27,ATL,10.0,279.0,14.9,.504,.298,.430,1.2,5.9,3.7,37.7,1.1,0.6,14.8,27.1,,0.3,0.2,0.4,0.071,,0.0,-1.6,-1.5,0.0,2016
186,Jason Terry,SG,38,HOU,5.0,124.0,5.5,.445,.500,.079,0.8,9.0,4.7,8.3,0.8,0.7,7.1,14.0,,0.0,0.0,0.0,-0.011,,-3.1,-1.3,-4.4,-0.1,2016
187,Isaiah Thomas,PG,26,BOS,6.0,220.0,17.4,.519,.387,.395,0.9,8.1,4.3,27.9,0.9,2.0,9.1,30.1,,0.2,0.3,0.5,0.118,,3.9,-0.2,3.7,0.3,2016
188,Jason Thompson,C,29,TOR,10.0,55.0,6.2,.388,.111,.333,12.4,11.6,12.0,2.9,0.0,1.6,8.8,9.5,,0.0,0.0,0.0,0.014,,-2.7,-3.3,-6.1,-0.1,2016
189,Klay Thompson,SG,25,GSW,24.0,849.0,19.5,.588,.510,.212,1.9,9.2,5.6,11.1,1.5,0.9,8.7,28.0,,1.9,0.6,2.5,0.143,,4.6,-0.4,4.2,1.3,2016
190,Tristan Thompson,PF,24,CLE,21.0,622.0,14.2,.559,.000,.785,16.6,19.1,17.8,3.4,0.7,2.8,12.0,10.6,,1.4,0.6,2.0,0.155,,0.0,-1.1,-1.1,0.1,2016
191,Anthony Tolliver,PF,30,DET,3.0,26.0,10.2,.500,.500,.000,4.9,13.6,9.4,5.7,0.0,3.8,0.0,7.7,,0.0,0.0,0.0,0.014,,0.0,-0.5,-0.5,0.0,2016
192,Evan Turner,SG,27,BOS,6.0,214.0,9.8,.425,.165,.212,3.7,13.5,8.3,22.6,1.8,2.5,15.5,22.1,,-0.4,0.4,0.0,0.005,,-2.4,0.8,-1.6,0.0,2016
193,Myles Turner,C,19,IND,7.0,197.0,14.2,.480,.028,.127,10.0,15.8,13.1,2.9,0.5,9.8,13.8,21.2,,-0.1,0.3,0.2,0.05,,-3.6,1.4,-2.2,0.0,2016
194,Jonas ValanÄiÅ«nas,C,23,TOR,12.0,321.0,26.8,.601,.000,.325,16.9,32.2,24.1,7.0,1.7,3.9,11.6,22.4,,1.0,0.5,1.5,0.226,,4.9,0.8,5.7,0.6,2016
195,Anderson VarejÃ£o,C,33,GSW,17.0,93.0,12.4,.447,.000,1.357,14.2,10.3,12.2,18.6,1.1,1.7,8.2,11.5,,0.2,0.1,0.3,0.149,,-1.1,1.9,0.8,0.1,2016
196,Charlie Villanueva,PF,31,DAL,4.0,20.0,0.5,.349,.417,.167,0.0,12.2,5.8,8.5,0.0,0.0,7.2,32.1,,-0.1,0.0,-0.1,-0.287,,-4.5,-3.5,-8.0,0.0,2016
